actual,campaign_id,check,expected,item,pass
True,step76_minimal_post_gate_real_driver_rebaseline,first_campaign_is_rebaseline_only,True,,True
False,step76_minimal_post_gate_real_driver_rebaseline,run_optional_32_3step,False,,True
False,step76_minimal_post_gate_real_driver_rebaseline,runtime_geometry_enabled,False,,True
False,step76_minimal_post_gate_real_driver_rebaseline,wall_velocity_enabled,False,,True
False,step76_minimal_post_gate_real_driver_rebaseline,real_geometry_enabled,False,,True
False,step76_minimal_post_gate_real_driver_rebaseline,squid_proxy_enabled,False,,True
False,step76_minimal_post_gate_real_driver_rebaseline,write_vtk,False,,True
False,step76_minimal_post_gate_real_driver_rebaseline,write_particles,False,,True
0,step76_minimal_post_gate_real_driver_rebaseline,activation_feature_count,0,,True
False,,forbidden_campaign_item_not_allowed,False,runtime_geometry_plus_wall_velocity_combined,True
False,,forbidden_campaign_item_not_allowed,False,real_geometry_candidate,True
False,,forbidden_campaign_item_not_allowed,False,squid_motion,True
False,,forbidden_campaign_item_not_allowed,False,48^3,True
False,,forbidden_campaign_item_not_allowed,False,64^3,True
False,,forbidden_campaign_item_not_allowed,False,VTR,True
False,,forbidden_campaign_item_not_allowed,False,particle_NPY,True
False,,forbidden_campaign_item_not_allowed,False,required_link_area_row,True
False,,forbidden_campaign_item_not_allowed,False,long_duration,True
