actual,artifact_path,check,check_kind,expected,pass,present,step,summary_key
True,outputs/step71_output_default_alignment_audit/output_default_alignment.json,step71_output_default_alignment,required_artifact,True,True,True,71,output_default_alignment_audit_pass
True,outputs/step71_tau_convention_decision_audit/tau_convention_decision.json,step71_tau_convention_decision,required_artifact,True,True,True,71,tau_convention_decision_audit_pass
True,outputs/step71_config_schema_delta_audit/config_schema_delta.json,step71_config_schema_delta,required_artifact,True,True,True,71,config_schema_delta_audit_pass
True,outputs/step71_no_simulation_audit/no_simulation.json,step71_no_simulation,required_artifact,True,True,True,71,no_simulation_audit_pass
True,outputs/step71_step70_regression_guard/step70_regression_guard.json,step71_step70_regression_guard,required_artifact,True,True,True,71,step71_step70_regression_guard_pass
True,outputs/step71_artifact_manifest/artifact_summary.json,step71_artifact_manifest,required_artifact,True,True,True,71,artifact_budget_pass
True,outputs/step72_runtime_geometry_readiness_audit/runtime_geometry_readiness.json,step72_runtime_geometry_readiness,required_artifact,True,True,True,72,runtime_geometry_readiness_audit_pass
True,outputs/step72_runtime_geometry_api_audit/runtime_geometry_api.json,step72_runtime_geometry_api,required_artifact,True,True,True,72,runtime_geometry_api_audit_pass
True,outputs/step72_runtime_geometry_config_schema_audit/runtime_geometry_config_schema.json,step72_runtime_geometry_config_schema,required_artifact,True,True,True,72,runtime_geometry_config_schema_audit_pass
True,outputs/step72_runtime_geometry_driver_gate_audit/runtime_geometry_driver_gate.json,step72_runtime_geometry_driver_gate,required_artifact,True,True,True,72,runtime_geometry_driver_gate_audit_pass
True,outputs/step72_runtime_geometry_state_guard_audit/runtime_geometry_state_guard.json,step72_runtime_geometry_state_guard,required_artifact,True,True,True,72,runtime_geometry_state_guard_audit_pass
True,outputs/step72_runtime_geometry_output_policy_audit/runtime_geometry_output_policy.json,step72_runtime_geometry_output_policy,required_artifact,True,True,True,72,runtime_geometry_output_policy_audit_pass
True,outputs/step72_no_simulation_audit/no_simulation.json,step72_no_simulation,required_artifact,True,True,True,72,no_simulation_audit_pass
True,outputs/step72_step71_regression_guard/step71_regression_guard.json,step72_step71_regression_guard,required_artifact,True,True,True,72,step72_step71_regression_guard_pass
True,outputs/step72_artifact_manifest/artifact_summary.json,step72_artifact_manifest,required_artifact,True,True,True,72,artifact_budget_pass
True,outputs/step73_wall_velocity_readiness_audit/wall_velocity_readiness.json,step73_wall_velocity_readiness,required_artifact,True,True,True,73,wall_velocity_readiness_audit_pass
True,outputs/step73_wall_velocity_api_audit/wall_velocity_api.json,step73_wall_velocity_api,required_artifact,True,True,True,73,wall_velocity_api_audit_pass
True,outputs/step73_wall_velocity_config_schema_audit/wall_velocity_config_schema.json,step73_wall_velocity_config_schema,required_artifact,True,True,True,73,wall_velocity_config_schema_audit_pass
True,outputs/step73_wall_velocity_driver_gate_audit/wall_velocity_driver_gate.json,step73_wall_velocity_driver_gate,required_artifact,True,True,True,73,wall_velocity_driver_gate_audit_pass
True,outputs/step73_wall_velocity_application_safety_audit/wall_velocity_application_safety.json,step73_wall_velocity_application_safety,required_artifact,True,True,True,73,wall_velocity_application_safety_audit_pass
True,outputs/step73_wall_velocity_output_policy_audit/wall_velocity_output_policy.json,step73_wall_velocity_output_policy,required_artifact,True,True,True,73,wall_velocity_output_policy_audit_pass
True,outputs/step73_full_activation_gate_coverage_audit/full_activation_gate_coverage.json,step73_full_activation_gate_coverage,required_artifact,True,True,True,73,full_activation_gate_coverage_audit_pass
True,outputs/step73_no_simulation_audit/no_simulation.json,step73_no_simulation,required_artifact,True,True,True,73,no_simulation_audit_pass
True,outputs/step73_step72_regression_guard/step72_regression_guard.json,step73_step72_regression_guard,required_artifact,True,True,True,73,step73_step72_regression_guard_pass
True,outputs/step73_artifact_manifest/artifact_summary.json,step73_artifact_manifest,required_artifact,True,True,True,73,artifact_budget_pass
True,outputs/step74_real_geometry_data_boundary_audit/real_geometry_data_boundary.json,step74_real_geometry_data_boundary,required_artifact,True,True,True,74,real_geometry_data_boundary_audit_pass
True,outputs/step74_real_geometry_api_audit/real_geometry_api.json,step74_real_geometry_api,required_artifact,True,True,True,74,real_geometry_api_audit_pass
