check,artifact_path,summary_key,actual,expected,pass
step76_matrix_pass,outputs/step76_post_gate_rebaseline_matrix/post_gate_rebaseline_matrix.json,post_gate_rebaseline_matrix_pass,True,True,True
step76_optional_row_count,outputs/step76_post_gate_rebaseline_matrix/post_gate_rebaseline_matrix.json,optional_row_count,0,0,True
step76_activation_feature_count,outputs/step76_post_gate_rebaseline_matrix/post_gate_rebaseline_matrix.json,activation_feature_count,0,0,True
step76_quality_pass,outputs/step76_post_gate_rebaseline_quality/post_gate_rebaseline_quality.json,post_gate_rebaseline_quality_pass,True,True,True
step76_activation_guard_pass,outputs/step76_activation_guard/activation_guard.json,post_gate_activation_guard_pass,True,True,True
step76_activation_guard_feature_count,outputs/step76_activation_guard/activation_guard.json,activation_feature_count,0,0,True
step76_output_guard_pass,outputs/step76_output_guard/output_guard.json,output_guard_pass,True,True,True
step76_vtr_count,outputs/step76_output_guard/output_guard.json,step76_vtr_count,0,0,True
step76_particle_npy_count,outputs/step76_output_guard/output_guard.json,step76_particle_npy_count,0,0,True
step76_protected_external_edit_count,outputs/step76_output_guard/output_guard.json,protected_external_edit_count,0,0,True
step76_protected_real_geometry_candidate_edit_count,outputs/step76_output_guard/output_guard.json,protected_real_geometry_candidate_edit_count,0,0,True
step76_step75_regression_guard_pass,outputs/step76_step75_regression_guard/step75_regression_guard.json,step76_step75_regression_guard_pass,True,True,True
step76_artifact_budget_pass,outputs/step76_artifact_manifest/artifact_summary.json,artifact_budget_pass,True,True,True
