metric,value
combined_runtime_geometry_wall_velocity_planned_for_step80,False
geometry_mutation_allowed,False
grid_48_planned_for_step80,False
grid_64_planned_for_step80,False
guard_pass_count,34
guard_row_count,34
link_area_planned_for_step80,False
planned_step80_activation_feature_count,1
real_geometry_planned_for_step80,False
row_count,34
runtime_geometry_application_mode_planned_for_step80,diagnostic_only
runtime_geometry_planned_for_step80,True
squid_proxy_planned_for_step80,False
step79_activation_feature_count,0
step79_runtime_geometry_diagnostic_only_activation_guard_pass,True
wall_velocity_planned_for_step80,False
write_particles_planned_for_step80,False
write_vtk_planned_for_step80,False
