metric,value
output_guard_pass,True
pass_count,32
private_absolute_path_count,0
protected_external_edit_count,0
protected_real_geometry_candidate_edit_count,0
row_count,32
step80_dense_displacement_output_count,0
step80_displaced_particle_output_count,0
step80_forbidden_file_count,0
step80_large_file_count,0
step80_optional_driver_run_dir_count,0
step80_particle_npy_count,0
step80_raw_geometry_output_count,0
step80_required_driver_run_dir_count,1
step80_total_size_bytes,606878
step80_total_size_mb,0.5787639617919922
step80_vtr_count,0
