metric,value
actuation_claim_planned_for_step82,False
apply_to_lbm_populations_planned_for_step82,False
apply_to_lbm_solid_vel_planned_for_step82,True
apply_to_mpm_planned_for_step82,False
apply_to_projector_planned_for_step82,False
combined_runtime_geometry_wall_velocity_planned_for_step82,False
guard_pass_count,36
guard_row_count,36
jet_model_planned_for_step82,False
link_area_planned_for_step82,False
modify_bounceback_formula_planned_for_step82,False
planned_step82_activation_feature_count,1
real_geometry_planned_for_step82,False
row_count,36
runtime_geometry_planned_for_step82,False
squid_proxy_planned_for_step82,False
step81_activation_feature_count,0
step81_wall_velocity_single_feature_activation_guard_pass,True
target_lbm_field_planned_for_step82,solid_vel
wall_velocity_application_mode_planned_for_step82,solid_vel_experimental
wall_velocity_planned_for_step82,True
write_particles_planned_for_step82,False
write_vtk_planned_for_step82,False
