actual,check,expected,pass,row_name
Step81,step,Step81,True,
Step80,previous_step,Step80,True,
a2fbdfa6a9af0f02901e16e92b276c2055755fe1,previous_required_commit,a2fbdfa6a9af0f02901e16e92b276c2055755fe1,True,
single_feature_plan_only,activation_kind,single_feature_plan_only,True,
wall_velocity,feature_under_plan,wall_velocity,True,
True,wall_velocity_activation_planned,True,True,
solid_vel_experimental,wall_velocity_application_mode_planned_for_step82,solid_vel_experimental,True,
solid_vel,target_lbm_field_planned_for_step82,solid_vel,True,
False,driver_run_required,False,True,
False,fsidriver_run_allowed,False,True,
False,simulation_run_allowed,False,True,
True,step82_allowed,True,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
canonical_driver_wall_velocity_solid_vel_32_3step_smoke,step82_allowed_row_name,canonical_driver_wall_velocity_solid_vel_32_3step_smoke,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
32,step82_allowed_n_grid,32,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
1024,step82_allowed_n_particles,1024,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
3,step82_allowed_n_lbm_steps,3,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
1,step82_allowed_mpm_substeps_per_lbm_step,1,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
moving_boundary,step82_allowed_coupling_mode,moving_boundary,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
engineering,step82_allowed_reaction_transfer_mode,engineering,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
box,step82_allowed_geometry_type,box,True,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
prescribed_kinematic,boundary_motion_mode_allowed_for_step82,prescribed_kinematic,True,
configs/step34_boundary_motion_interface_prescribed_kinematic.json,boundary_motion_config_path_allowed_for_step82,configs/step34_boundary_motion_interface_prescribed_kinematic.json,True,
solid_vel_experimental,wall_velocity_application_mode_allowed_for_step82,solid_vel_experimental,True,
configs/step36_wall_velocity_application_solid_vel_experimental.json,wall_velocity_application_config_path_allowed_for_step82,configs/step36_wall_velocity_application_solid_vel_experimental.json,True,
True,wall_velocity_application_report_required_for_step82,True,True,
True,apply_to_lbm_solid_vel_allowed,True,True,
False,apply_to_lbm_populations_allowed,False,True,
False,apply_to_mpm_allowed,False,True,
False,apply_to_projector_allowed,False,True,
False,modify_bounceback_formula_allowed,False,True,
False,jet_model_allowed,False,True,
False,actuation_claim_allowed,False,True,
False,runtime_geometry_allowed,False,True,
False,combined_runtime_geometry_wall_velocity_allowed,False,True,
False,real_geometry_allowed,False,True,
False,squid_proxy_allowed,False,True,
False,link_area_allowed,False,True,
False,grid_48_allowed,False,True,
False,grid_64_allowed,False,True,
False,vtr_output_allowed,False,True,
False,particle_npy_output_allowed,False,True,
False,runtime_code_changed,False,True,
False,solver_behavior_changed,False,True,
False,solver_formula_change_allowed,False,True,
False,tau_migration_allowed,False,True,
False,physical_validation_claim_allowed,False,True,
False,production_readiness_claim_allowed,False,True,
False,real_squid_validation_claim_allowed,False,True,
