metric,value
actuation_claim_allowed,False
apply_to_lbm_populations_allowed,False
apply_to_lbm_solid_vel_allowed,True
apply_to_mpm_allowed,False
apply_to_projector_allowed,False
boundary_motion_config_path_allowed_for_step82,configs/step34_boundary_motion_interface_prescribed_kinematic.json
boundary_motion_mode_allowed_for_step82,prescribed_kinematic
combined_runtime_geometry_wall_velocity_allowed,False
driver_run_required,False
fsidriver_run_allowed,False
grid_48_allowed,False
grid_64_allowed,False
jet_model_allowed,False
link_area_allowed,False
modify_bounceback_formula_allowed,False
particle_npy_output_allowed,False
pass_count,48
physical_validation_claim_allowed,False
planned_step82_activation_feature_count,1
previous_commit,a2fbdfa6a9af0f02901e16e92b276c2055755fe1
previous_step,Step80
production_readiness_claim_allowed,False
real_geometry_allowed,False
real_squid_validation_claim_allowed,False
row_count,48
runtime_code_changed,False
runtime_geometry_allowed,False
simulation_run_allowed,False
solver_behavior_changed,False
solver_formula_change_allowed,False
squid_proxy_allowed,False
step81_activation_feature_count,0
step81_wall_velocity_single_feature_activation_plan_pass,True
step82_allowed,True
step82_allowed_coupling_mode,moving_boundary
step82_allowed_geometry_type,box
step82_allowed_mpm_substeps_per_lbm_step,1
step82_allowed_n_grid,32
step82_allowed_n_lbm_steps,3
step82_allowed_n_particles,1024
step82_allowed_reaction_transfer_mode,engineering
step82_allowed_row_count,1
step82_allowed_row_name,canonical_driver_wall_velocity_solid_vel_32_3step_smoke
target_lbm_field_planned_for_step82,solid_vel
tau_migration_allowed,False
vtr_output_allowed,False
wall_velocity_activation_planned,True
wall_velocity_application_config_path_allowed_for_step82,configs/step36_wall_velocity_application_solid_vel_experimental.json
wall_velocity_application_mode_allowed_for_step82,solid_vel_experimental
wall_velocity_application_mode_planned_for_step82,solid_vel_experimental
wall_velocity_application_report_required_for_step82,True
