metric,value
actuation_claim_planned_for_step84,False
apply_to_lbm_populations_planned_for_step84,False
apply_to_lbm_solid_vel_planned_for_step84,True
apply_to_mpm_planned_for_step84,False
apply_to_projector_planned_for_step84,False
combined_runtime_geometry_wall_velocity_planned_for_step84,True
geometry_mutation_allowed,False
guard_pass_count,44
guard_row_count,44
jet_model_planned_for_step84,False
link_area_planned_for_step84,False
modify_bounceback_formula_planned_for_step84,False
planned_step84_activation_feature_count,2
real_geometry_planned_for_step84,False
row_count,44
runtime_geometry_application_mode_planned_for_step84,diagnostic_only
runtime_geometry_planned_for_step84,True
squid_proxy_planned_for_step84,False
step83_activation_feature_count,0
step83_runtime_geometry_wall_velocity_combined_activation_guard_pass,True
target_lbm_field_planned_for_step84,solid_vel
wall_velocity_application_mode_planned_for_step84,solid_vel_experimental
wall_velocity_planned_for_step84,True
write_particles_planned_for_step84,False
write_vtk_planned_for_step84,False
