actual,check,expected,pass,row_name
Step83,step,Step83,True,
Step82,previous_step,Step82,True,
3df6bb25b32d74f16300b8ba603c843eecc725c2,previous_required_commit,3df6bb25b32d74f16300b8ba603c843eecc725c2,True,
combined_feature_plan_only,activation_kind,combined_feature_plan_only,True,
"[""runtime_geometry_diagnostic_only"", ""wall_velocity_solid_vel""]",features_under_plan,"[""runtime_geometry_diagnostic_only"", ""wall_velocity_solid_vel""]",True,
False,driver_run_required,False,True,
False,fsidriver_run_allowed,False,True,
False,simulation_run_allowed,False,True,
True,step84_allowed,True,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke,step84_allowed_row_name,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
32,step84_allowed_n_grid,32,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
1024,step84_allowed_n_particles,1024,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
3,step84_allowed_n_lbm_steps,3,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
1,step84_allowed_mpm_substeps_per_lbm_step,1,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
moving_boundary,step84_allowed_coupling_mode,moving_boundary,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
engineering,step84_allowed_reaction_transfer_mode,engineering,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
box,step84_allowed_geometry_type,box,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,runtime_geometry_planned_for_step84,True,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
prescribed_kinematic,geometry_motion_mode_allowed_for_step84,prescribed_kinematic,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
diagnostic_only,geometry_motion_application_mode_allowed_for_step84,diagnostic_only,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json,geometry_motion_config_path_allowed_for_step84,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json,geometry_motion_application_config_path_allowed_for_step84,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,geometry_motion_interface_report_required_for_step84,True,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,geometry_mutation_allowed,False,True,
True,wall_velocity_planned_for_step84,True,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
prescribed_kinematic,boundary_motion_mode_allowed_for_step84,prescribed_kinematic,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
configs/step34_boundary_motion_interface_prescribed_kinematic.json,boundary_motion_config_path_allowed_for_step84,configs/step34_boundary_motion_interface_prescribed_kinematic.json,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
solid_vel_experimental,wall_velocity_application_mode_allowed_for_step84,solid_vel_experimental,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
configs/step36_wall_velocity_application_solid_vel_experimental.json,wall_velocity_application_config_path_allowed_for_step84,configs/step36_wall_velocity_application_solid_vel_experimental.json,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,wall_velocity_application_report_required_for_step84,True,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
solid_vel,target_lbm_field_planned_for_step84,solid_vel,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,combined_runtime_geometry_wall_velocity_planned_for_step84,True,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
2,planned_step84_activation_feature_count,2,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
0,step83_activation_feature_count,0,True,
True,apply_to_lbm_solid_vel_allowed,True,True,
False,apply_to_lbm_populations_allowed,False,True,
False,apply_to_mpm_allowed,False,True,
False,apply_to_projector_allowed,False,True,
False,modify_bounceback_formula_allowed,False,True,
False,jet_model_allowed,False,True,
False,actuation_claim_allowed,False,True,
False,real_geometry_allowed,False,True,
False,squid_proxy_allowed,False,True,
False,link_area_allowed,False,True,
False,grid_48_allowed,False,True,
False,grid_64_allowed,False,True,
False,vtr_output_allowed,False,True,
False,particle_npy_output_allowed,False,True,
False,runtime_code_changed,False,True,
False,solver_behavior_changed,False,True,
False,solver_formula_change_allowed,False,True,
False,tau_migration_allowed,False,True,
False,physical_validation_claim_allowed,False,True,
False,production_readiness_claim_allowed,False,True,
False,real_squid_validation_claim_allowed,False,True,
