metric,value
actuation_claim_allowed,False
apply_to_lbm_populations_allowed,False
apply_to_lbm_solid_vel_allowed,True
apply_to_mpm_allowed,False
apply_to_projector_allowed,False
boundary_motion_config_path_allowed_for_step84,configs/step34_boundary_motion_interface_prescribed_kinematic.json
boundary_motion_mode_allowed_for_step84,prescribed_kinematic
combined_runtime_geometry_wall_velocity_planned_for_step84,True
driver_run_required,False
features_under_plan,"[""runtime_geometry_diagnostic_only"", ""wall_velocity_solid_vel""]"
fsidriver_run_allowed,False
geometry_motion_application_config_path_allowed_for_step84,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_application_mode_allowed_for_step84,diagnostic_only
geometry_motion_config_path_allowed_for_step84,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_interface_report_required_for_step84,True
geometry_motion_mode_allowed_for_step84,prescribed_kinematic
geometry_mutation_allowed,False
grid_48_allowed,False
grid_64_allowed,False
jet_model_allowed,False
link_area_allowed,False
modify_bounceback_formula_allowed,False
particle_npy_output_allowed,False
pass_count,55
physical_validation_claim_allowed,False
planned_step84_activation_feature_count,2
previous_commit,3df6bb25b32d74f16300b8ba603c843eecc725c2
previous_step,Step82
production_readiness_claim_allowed,False
real_geometry_allowed,False
real_squid_validation_claim_allowed,False
row_count,55
runtime_code_changed,False
runtime_geometry_planned_for_step84,True
simulation_run_allowed,False
solver_behavior_changed,False
solver_formula_change_allowed,False
squid_proxy_allowed,False
step83_activation_feature_count,0
step83_runtime_geometry_wall_velocity_combined_activation_plan_pass,True
step84_allowed,True
step84_allowed_coupling_mode,moving_boundary
step84_allowed_geometry_type,box
step84_allowed_mpm_substeps_per_lbm_step,1
step84_allowed_n_grid,32
step84_allowed_n_lbm_steps,3
step84_allowed_n_particles,1024
step84_allowed_reaction_transfer_mode,engineering
step84_allowed_row_count,1
step84_allowed_row_name,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
target_lbm_field_planned_for_step84,solid_vel
tau_migration_allowed,False
vtr_output_allowed,False
wall_velocity_application_config_path_allowed_for_step84,configs/step36_wall_velocity_application_solid_vel_experimental.json
wall_velocity_application_mode_allowed_for_step84,solid_vel_experimental
wall_velocity_application_report_required_for_step84,True
wall_velocity_planned_for_step84,True
