actual,check,expected,pass,row_name
True,step85_squid_proxy_static_geometry_activation_plan_pass,True,True,activation_plan
canonical_driver_squid_proxy_static_geometry_32_3step_smoke,step86_allowed_row_name,canonical_driver_squid_proxy_static_geometry_32_3step_smoke,True,activation_plan
squid_proxy_static_geometry,feature_under_plan,squid_proxy_static_geometry,True,activation_plan
0,step85_activation_feature_count,0,True,activation_plan
1,planned_step86_activation_feature_count,1,True,activation_plan
squid_proxy,geometry_type_allowed_for_step86,squid_proxy,True,activation_plan
configs/step85_squid_proxy_geometry_1024.json,geometry_config_path_allowed_for_step86,configs/step85_squid_proxy_geometry_1024.json,True,activation_plan
static,geometry_motion_mode_allowed_for_step86,static,True,activation_plan
disabled,geometry_motion_application_mode_allowed_for_step86,disabled,True,activation_plan
static,boundary_motion_mode_allowed_for_step86,static,True,activation_plan
disabled,wall_velocity_application_mode_allowed_for_step86,disabled,True,activation_plan
True,geometry_quality_report_required_for_step86,True,True,activation_plan
False,write_vtk_allowed_for_step86,False,True,activation_plan
False,write_particles_allowed_for_step86,False,True,activation_plan
False,driver_run_required,False,True,activation_plan
False,fsidriver_run_allowed,False,True,activation_plan
False,simulation_run_allowed,False,True,activation_plan
squid_proxy,geometry_type,squid_proxy,True,planned_geometry_config
1024,n_particles,1024,True,planned_geometry_config
True,quality_check_enabled,True,True,planned_geometry_config
False,quality_check_strict,False,True,planned_geometry_config
True,deterministic,True,True,planned_geometry_config
3,mantle_center_len,3,True,planned_geometry_config
3,mantle_radii_len,3,True,planned_geometry_config
3,head_center_len,3,True,planned_geometry_config
3,head_radii_len,3,True,planned_geometry_config
False,runtime_geometry_allowed,False,True,activation_plan
False,geometry_mutation_allowed,False,True,activation_plan
False,wall_velocity_allowed,False,True,activation_plan
False,combined_runtime_geometry_wall_velocity_allowed,False,True,activation_plan
False,real_geometry_allowed,False,True,activation_plan
False,real_geometry_candidate_data_allowed,False,True,activation_plan
False,link_area_allowed,False,True,activation_plan
False,grid_48_allowed,False,True,activation_plan
False,grid_64_allowed,False,True,activation_plan
False,vtr_output_allowed,False,True,activation_plan
False,particle_npy_output_allowed,False,True,activation_plan
False,solver_formula_change_allowed,False,True,activation_plan
False,tau_migration_allowed,False,True,activation_plan
False,physical_validation_claim_allowed,False,True,activation_plan
False,production_readiness_claim_allowed,False,True,activation_plan
False,real_squid_validation_claim_allowed,False,True,activation_plan
False,squid_swimming_claim_allowed,False,True,activation_plan
False,squid_actuation_claim_allowed,False,True,activation_plan
False,actuation_claim_allowed,False,True,activation_plan
False,jet_model_allowed,False,True,activation_plan
