metric,value
geometry_config_path_allowed_for_step86,configs/step85_squid_proxy_geometry_1024.json
geometry_quality_report_required_for_step86,True
guard_pass_count,46
guard_row_count,46
planned_step86_activation_feature_count,1
planned_step86_feature,squid_proxy_static_geometry
planned_step86_row_name,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
row_count,46
squid_proxy_planned_for_step86,True
step85_activation_feature_count,0
step85_squid_proxy_static_geometry_activation_guard_pass,True
