metric,value
actuation_claim_allowed,False
boundary_motion_mode_allowed_for_step86,static
combined_runtime_geometry_wall_velocity_allowed,False
driver_run_required,False
feature_under_plan,squid_proxy_static_geometry
fsidriver_run_allowed,False
geometry_config_path_allowed_for_step86,configs/step85_squid_proxy_geometry_1024.json
geometry_motion_application_mode_allowed_for_step86,disabled
geometry_motion_mode_allowed_for_step86,static
geometry_mutation_allowed,False
geometry_quality_report_required_for_step86,True
geometry_type_allowed_for_step86,squid_proxy
grid_48_allowed,False
grid_64_allowed,False
jet_model_allowed,False
link_area_allowed,False
particle_npy_output_allowed,False
pass_count,53
physical_validation_claim_allowed,False
planned_step86_activation_feature_count,1
previous_commit,29a130ccef93f095deeaa941b44003720f2291c5
previous_step,Step84
production_readiness_claim_allowed,False
quality_check_enabled_allowed_for_step86,True
quality_check_strict_allowed_for_step86,False
real_geometry_allowed,False
real_geometry_candidate_data_allowed,False
real_squid_validation_claim_allowed,False
row_count,53
runtime_code_changed,False
runtime_geometry_allowed,False
simulation_run_allowed,False
solver_behavior_changed,False
solver_formula_change_allowed,False
squid_actuation_claim_allowed,False
squid_proxy_planned_for_step86,True
squid_swimming_claim_allowed,False
step85_activation_feature_count,0
step85_squid_proxy_static_geometry_activation_plan_pass,True
step86_allowed,True
step86_allowed_coupling_mode,moving_boundary
step86_allowed_geometry_type,squid_proxy
step86_allowed_mpm_substeps_per_lbm_step,1
step86_allowed_n_grid,32
step86_allowed_n_lbm_steps,3
step86_allowed_n_particles,1024
step86_allowed_reaction_transfer_mode,engineering
step86_allowed_row_count,1
step86_allowed_row_name,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
tau_migration_allowed,False
vtr_output_allowed,False
wall_velocity_allowed,False
wall_velocity_application_mode_allowed_for_step86,disabled
write_particles_allowed_for_step86,False
write_vtk_allowed_for_step86,False
