actual,check,expected,operator,pass,row_name
0.9614667892456055,rho_min_min,0.9,>,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
1.0393489599227905,rho_max_max,1.1,<,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
0.0288397129625082,lbm_max_v_max,0.5,<,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
0.999782145023346,mpm_min_J_min,0.0,>,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
1.567559003829956,mpm_max_speed_max,10.0,<,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
0.02264912612736225,projected_mass_final,0.0,>,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
1763,active_cell_count_final,1,>=,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
2574,bb_link_count_max,0,>,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
0.006878961343318224,bb_max_correction_max,0.0,>=,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
987,active_reaction_particle_count_final,0,>=,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,has_nan,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,has_inf,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,stable,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,diagnostics_csv_exists,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,diagnostics_npz_exists,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,driver_config_exists,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,driver_timing_exists,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
geo_all_fluid_32.dat,geo_path_name,geo_all_fluid_32.dat,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,runtime_hard_fail,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
Step85,previous_step,Step85,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
squid_proxy,geometry_type,squid_proxy,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,squid_proxy_enabled,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,procedural_geometry_enabled,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,real_geometry_candidate_enabled,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,real_geometry_enabled,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,runtime_geometry_enabled,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,wall_velocity_enabled,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,combined_runtime_geometry_wall_velocity_enabled,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,link_area_enabled,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,geometry_quality_report_exists,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,geometry_quality_report_pass,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,geometry_quality_strict,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
squid_proxy,quality_report_geometry_type,squid_proxy,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,quality_report_empty,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
774,quality_report_occupied_count,0,>,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
358,quality_report_surface_voxel_count,0,>,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
False,quality_report_touches_domain_boundary,False,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
True,sampling_stats_exist,True,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
squid_proxy,sampling_geometry_type,squid_proxy,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
1024,sampling_particle_count,1024,==,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
4.2154038965236396e-05,max_grid_reaction_norm_max_finite,True,is_finite,True,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
