metric,value
activation_feature_count,1
allowed_next_step,Step86
allowed_next_step_scope,squid_proxy static geometry canonical driver 3-step smoke only
canonical_driver_module,src.mpm_lbm.sim.drivers.fsi_driver
combined_runtime_geometry_wall_velocity_enabled_count,0
driver_run_called_count,1
driver_run_required,True
gate_source_step,Step85
geometry_quality_report_pass_count,1
grid_48_enabled_count,0
grid_64_enabled_count,0
has_inf_count,0
has_nan_count,0
legacy_driver_module_used_count,0
link_area_enabled_count,0
max_lbm_max_v,0.0288397129625082
max_mpm_max_speed,1.567559003829956
max_rho_max,1.0393489599227905
min_completed_lbm_steps,3
min_diagnostics_row_count,4
min_mpm_min_J,0.999782145023346
min_rho_min,0.9614667892456055
min_total_mpm_substeps,3
missing_required_rows,[]
optional_row_count,0
physics_feature_expansion,squid_proxy_static_geometry_only
post_gate_simulation_allowed,True
previous_step,Step85
procedural_geometry_enabled_count,1
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_count,1
required_rows_present,"[""canonical_driver_squid_proxy_static_geometry_32_3step_smoke""]"
required_stable_count,1
row_count,1
runtime_code_changed,False
runtime_geometry_enabled_count,0
runtime_hard_fail_count,0
runtime_warning_count,0
slowest_elapsed_seconds,215.80475670000305
slowest_row_name,canonical_driver_squid_proxy_static_geometry_32_3step_smoke
solver_behavior_changed,False
squid_proxy_enabled_count,1
stable_count,1
step86_squid_proxy_static_geometry_smoke_matrix_pass,True
total_elapsed_seconds,215.80475670000305
wall_velocity_enabled_count,0
write_particles_count,0
write_vtk_count,0
