actual,check,expected,pass,row_name
True,step87_runtime_geometry_wall_velocity_squid_proxy_combined_activation_plan_pass,True,True,activation_plan
canonical_driver_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke,step88_allowed_row_name,canonical_driver_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke,True,activation_plan
0,step87_activation_feature_count,0,True,activation_plan
3,planned_step88_activation_feature_count,3,True,activation_plan
squid_proxy,geometry_type_allowed_for_step88,squid_proxy,True,activation_plan
configs/step85_squid_proxy_geometry_1024.json,geometry_config_path_allowed_for_step88,configs/step85_squid_proxy_geometry_1024.json,True,activation_plan
diagnostic_only,geometry_motion_application_mode_allowed_for_step88,diagnostic_only,True,activation_plan
solid_vel_experimental,wall_velocity_application_mode_allowed_for_step88,solid_vel_experimental,True,activation_plan
solid_vel,target_lbm_field_planned_for_step88,solid_vel,True,activation_plan
True,geometry_quality_report_required_for_step88,True,True,activation_plan
True,squid_proxy_planned_for_step88,True,True,activation_plan
True,runtime_geometry_planned_for_step88,True,True,activation_plan
True,wall_velocity_planned_for_step88,True,True,activation_plan
True,combined_runtime_geometry_wall_velocity_planned_for_step88,True,True,activation_plan
True,apply_to_lbm_solid_vel_allowed,True,True,activation_plan
False,driver_run_required,False,True,activation_plan
False,fsidriver_run_allowed,False,True,activation_plan
False,simulation_run_allowed,False,True,activation_plan
False,geometry_mutation_allowed,False,True,activation_plan
False,real_geometry_allowed,False,True,activation_plan
False,real_geometry_candidate_data_allowed,False,True,activation_plan
False,link_area_allowed,False,True,activation_plan
False,grid_48_allowed,False,True,activation_plan
False,grid_64_allowed,False,True,activation_plan
False,vtr_output_allowed,False,True,activation_plan
False,particle_npy_output_allowed,False,True,activation_plan
False,apply_to_lbm_populations_allowed,False,True,activation_plan
False,apply_to_mpm_allowed,False,True,activation_plan
False,apply_to_projector_allowed,False,True,activation_plan
False,modify_bounceback_formula_allowed,False,True,activation_plan
False,solver_formula_change_allowed,False,True,activation_plan
False,tau_migration_allowed,False,True,activation_plan
False,physical_validation_claim_allowed,False,True,activation_plan
False,production_readiness_claim_allowed,False,True,activation_plan
False,real_squid_validation_claim_allowed,False,True,activation_plan
False,squid_swimming_claim_allowed,False,True,activation_plan
False,squid_actuation_claim_allowed,False,True,activation_plan
