metric,value
apply_to_lbm_populations_planned_for_step88,False
apply_to_lbm_solid_vel_planned_for_step88,True
combined_runtime_geometry_wall_velocity_planned_for_step88,True
geometry_mutation_allowed,False
geometry_quality_report_required_for_step88,True
geometry_type_planned_for_step88,squid_proxy
guard_pass_count,37
guard_row_count,37
link_area_planned_for_step88,False
modify_bounceback_formula_planned_for_step88,False
planned_step88_activation_feature_count,3
real_geometry_candidate_data_planned_for_step88,False
real_geometry_planned_for_step88,False
row_count,37
runtime_geometry_application_mode_planned_for_step88,diagnostic_only
runtime_geometry_planned_for_step88,True
squid_proxy_planned_for_step88,True
step87_activation_feature_count,0
step87_runtime_geometry_wall_velocity_squid_proxy_combined_activation_guard_pass,True
wall_velocity_application_mode_planned_for_step88,solid_vel_experimental
wall_velocity_planned_for_step88,True
write_particles_planned_for_step88,False
write_vtk_planned_for_step88,False
