metric,value
activation_kind,combined_feature_plan_only
actuation_claim_allowed,False
apply_to_lbm_populations_allowed,False
apply_to_lbm_solid_vel_allowed,True
apply_to_mpm_allowed,False
apply_to_projector_allowed,False
boundary_motion_config_path_allowed_for_step88,configs/step34_boundary_motion_interface_prescribed_kinematic.json
boundary_motion_mode_allowed_for_step88,prescribed_kinematic
boundary_motion_report_required_for_step88,True
combined_runtime_geometry_wall_velocity_planned_for_step88,True
driver_run_required,False
features_under_plan,"[""squid_proxy_static_geometry"", ""runtime_geometry_diagnostic_only"", ""wall_velocity_solid_vel""]"
fsidriver_run_allowed,False
geometry_config_path_allowed_for_step88,configs/step85_squid_proxy_geometry_1024.json
geometry_motion_application_config_path_allowed_for_step88,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_application_mode_allowed_for_step88,diagnostic_only
geometry_motion_application_report_required_for_step88,True
geometry_motion_config_path_allowed_for_step88,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_interface_report_required_for_step88,True
geometry_motion_mode_allowed_for_step88,prescribed_kinematic
geometry_mutation_allowed,False
geometry_quality_report_required_for_step88,True
geometry_type_allowed_for_step88,squid_proxy
grid_48_allowed,False
grid_64_allowed,False
jet_model_allowed,False
link_area_allowed,False
modify_bounceback_formula_allowed,False
particle_npy_output_allowed,False
pass_count,66
physical_validation_claim_allowed,False
planned_step88_activation_feature_count,3
previous_commit,e69e11971728a370465e54f753988d2b9ab228b5
previous_required_commit,e69e11971728a370465e54f753988d2b9ab228b5
previous_step,Step86
production_readiness_claim_allowed,False
quality_check_enabled_allowed_for_step88,True
quality_check_strict_allowed_for_step88,False
real_geometry_allowed,False
real_geometry_candidate_data_allowed,False
real_squid_validation_claim_allowed,False
row_count,66
runtime_code_changed,False
runtime_geometry_planned_for_step88,True
simulation_run_allowed,False
solver_behavior_changed,False
solver_formula_change_allowed,False
squid_actuation_claim_allowed,False
squid_proxy_planned_for_step88,True
squid_swimming_claim_allowed,False
step,Step87
step87_activation_feature_count,0
step87_runtime_geometry_wall_velocity_squid_proxy_combined_activation_plan_pass,True
step88_allowed,True
step88_allowed_coupling_mode,moving_boundary
step88_allowed_mpm_substeps_per_lbm_step,1
step88_allowed_n_grid,32
step88_allowed_n_lbm_steps,3
step88_allowed_n_particles,1024
step88_allowed_reaction_transfer_mode,engineering
step88_allowed_row_name,canonical_driver_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
target_lbm_field_planned_for_step88,solid_vel
tau_migration_allowed,False
vtr_output_allowed,False
wall_velocity_application_config_path_allowed_for_step88,configs/step36_wall_velocity_application_solid_vel_experimental.json
wall_velocity_application_mode_allowed_for_step88,solid_vel_experimental
wall_velocity_application_report_required_for_step88,True
wall_velocity_planned_for_step88,True
write_particles_allowed_for_step88,False
write_vtk_allowed_for_step88,False
