metric,value
activation_feature_count,3
combined_runtime_geometry_wall_velocity_enabled_count,1
geometry_motion_application_mode,diagnostic_only
geometry_type,squid_proxy
guard_pass_count,23
guard_row_count,23
link_area_enabled_count,0
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
row_count,23
runtime_geometry_enabled_count,1
squid_proxy_enabled_count,1
step88_activation_guard_pass,True
wall_velocity_application_mode,solid_vel_experimental
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
