metric,value
combined_runtime_geometry_wall_velocity_planned_for_step90,True
geometry_motion_application_mode_planned_for_step90,diagnostic_only
geometry_mutation_allowed,False
geometry_type_planned_for_step90,squid_proxy
guard_pass_count,38
guard_row_count,38
link_area_planned_for_step90,False
planned_step90_activation_feature_count,3
planned_step90_duration_lbm_steps,5
real_geometry_candidate_data_planned_for_step90,False
real_geometry_planned_for_step90,False
row_count,38
runtime_geometry_planned_for_step90,True
squid_proxy_planned_for_step90,True
step89_activation_feature_count,0
step89_first_user_simulation_dry_run_guard_pass,True
target_lbm_field_planned_for_step90,solid_vel
target_u_lbm_planned_for_step90,"[0.0, 0.0, 0.0]"
wall_velocity_application_mode_planned_for_step90,solid_vel_experimental
wall_velocity_planned_for_step90,True
write_particles_planned_for_step90,False
write_vtk_planned_for_step90,False
