actual,artifact_path,check,expected,pass,summary_key
True,outputs/step88_squid_proxy_runtime_geometry_wall_velocity_combined_smoke_matrix/squid_proxy_runtime_geometry_wall_velocity_combined_smoke_matrix.json,step88_smoke_matrix_pass,True,True,step88_squid_proxy_runtime_geometry_wall_velocity_combined_smoke_matrix_pass
True,outputs/step88_squid_proxy_runtime_geometry_wall_velocity_combined_quality/squid_proxy_runtime_geometry_wall_velocity_combined_quality.json,step88_quality_pass,True,True,step88_squid_proxy_runtime_geometry_wall_velocity_combined_quality_pass
True,outputs/step88_activation_guard/activation_guard.json,step88_activation_guard_pass,True,True,step88_activation_guard_pass
True,outputs/step88_output_guard/output_guard.json,step88_output_guard_pass,True,True,output_guard_pass
True,outputs/step88_step87_regression_guard/step87_regression_guard.json,step88_step87_regression_guard_pass,True,True,step88_step87_regression_guard_pass
True,outputs/step88_step86_regression_guard/step86_regression_guard.json,step88_step86_regression_guard_pass,True,True,step88_step86_regression_guard_pass
True,outputs/step88_step84_regression_guard/step84_regression_guard.json,step88_step84_regression_guard_pass,True,True,step88_step84_regression_guard_pass
True,outputs/step88_step82_regression_guard/step82_regression_guard.json,step88_step82_regression_guard_pass,True,True,step88_step82_regression_guard_pass
True,outputs/step88_step80_regression_guard/step80_regression_guard.json,step88_step80_regression_guard_pass,True,True,step88_step80_regression_guard_pass
True,outputs/step88_artifact_manifest/artifact_summary.json,step88_artifact_budget_pass,True,True,artifact_budget_pass
