metric,value
combined_runtime_geometry_wall_velocity_planned_for_step92,True
geometry_motion_application_mode_planned_for_step92,diagnostic_only
geometry_mutation_allowed,False
geometry_type_planned_for_step92,squid_proxy
guard_pass_count,42
guard_row_count,42
link_area_planned_for_step92,False
only_duration_expansion_from_step90,True
planned_step92_activation_feature_count,3
planned_step92_duration_lbm_steps,10
previous_step90_n_lbm_steps,5
real_geometry_candidate_data_planned_for_step92,False
real_geometry_planned_for_step92,False
row_count,42
runtime_geometry_planned_for_step92,True
squid_proxy_planned_for_step92,True
step91_activation_feature_count,0
step91_first_user_simulation_10step_dry_run_guard_pass,True
target_lbm_field_planned_for_step92,solid_vel
target_u_lbm_planned_for_step92,"[0.0, 0.0, 0.0]"
wall_velocity_application_mode_planned_for_step92,solid_vel_experimental
wall_velocity_planned_for_step92,True
write_particles_planned_for_step92,False
write_vtk_planned_for_step92,False
