step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,4.869279300000926
1,1,moving_boundary,0.9996863007545471,1.0000003576278687,0.0003139966866001487,1.3750441496540589e-07,-2.1655979765000666e-07,-3.194423170427285e-09,1.0917162853729678e-06,0.9999617338180542,0.0017955974908545613,0.0226491279900074,1759,0.0,0.41573983430862427,2574,0.00011802898370660841,987,4.2154038965236396e-05,146.32175289999577
2,2,moving_boundary,0.9994871020317078,1.000001072883606,0.00014198898861650378,1.198446284433885e-07,-1.6458513130146457e-07,4.8298566923676844e-08,2.2536578399012797e-06,0.9998880624771118,0.0036048439797014,0.02264910563826561,1759,0.0,0.41587546467781067,2574,0.00012552234693430364,987,4.21540935349185e-05,146.39677970000048
3,3,moving_boundary,0.9994185566902161,1.0000004768371582,0.00046188561827875674,3.0017648100510996e-07,-4.030900981888408e-07,1.036043215663085e-07,3.2897792152652983e-06,0.9997814893722534,0.005417324602603912,0.02264910750091076,1759,0.0,0.41572943329811096,2574,0.00013299555575940758,987,4.215420631226152e-05,146.462855400001
4,4,moving_boundary,0.9961479902267456,1.0000004768371582,0.003624566597864032,1.7833134506872739e-06,-2.6528091439104173e-06,1.8973557303070265e-07,4.860117769567296e-06,0.9996442794799805,0.007227594498544931,0.022649114951491356,1759,0.0,0.41570866107940674,2574,0.001400665147230029,987,4.2154366383329034e-05,146.8232160999978
5,5,moving_boundary,0.9943161606788635,1.0000004768371582,0.0017925770953297615,1.7513679040348507e-06,-2.191517523897346e-06,8.396715429626056e-07,5.488623628480127e-06,0.999478816986084,0.009027013555169106,0.02264912612736225,1759,0.0,0.41712453961372375,2574,0.0014045799616724253,987,4.215457374812104e-05,146.87925909999467
6,6,moving_boundary,0.9939723610877991,1.0000005960464478,0.004934485070407391,3.690029416247853e-06,-4.7314647417806555e-06,1.5614905350957997e-06,7.050581643852638e-06,0.999287486076355,0.010811741463840008,0.02264910191297531,1759,0.0,0.41569772362709045,2574,0.0014102732529863715,987,4.2154828406637534e-05,146.9394450999971
7,7,moving_boundary,0.9940555095672607,1.0020935535430908,0.003407704643905163,3.9536275835416745e-06,-3.7435456761159003e-06,2.918144446084625e-06,7.822495717846323e-06,0.9990726709365845,0.012564620934426785,0.022649139165878296,1759,0.0,0.41664376854896545,2574,0.0014175503747537732,987,4.215513035887852e-05,147.00341320000007
8,8,moving_boundary,0.9936118125915527,1.0000005960464478,0.005718602333217859,5.864720151294023e-06,-7.021676537988242e-06,4.078858637512894e-06,9.687672900327016e-06,0.998836874961853,0.014272989705204964,0.022649124264717102,1759,0.0,0.4156859815120697,2574,0.0017008754657581449,987,4.2155465052928776e-05,147.37035810000089
9,9,moving_boundary,0.9943168759346008,1.0026592016220093,0.004453946836292744,5.850489287695382e-06,-8.78037008078536e-06,5.637062713503838e-06,9.131211299973074e-06,0.9985826015472412,0.015925977379083633,0.022649120539426804,1759,0.0,0.4169260859489441,2574,0.0017075776122510433,987,4.215583248878829e-05,147.4458325999949
10,10,moving_boundary,0.9942808747291565,1.0018028020858765,0.0056376648135483265,7.6118412835057825e-06,-1.1744702533178497e-05,6.6760026129486505e-06,9.78331718215486e-06,0.998312771320343,0.01751340739428997,0.022649124264717102,1759,0.0,0.41565248370170593,2574,0.0017148390179499984,987,4.215622539049946e-05,147.55657839999913
