metric,value
combined_runtime_geometry_wall_velocity_planned_for_step94,True
duration_reduction_for_output_isolation,True
geometry_motion_application_mode_planned_for_step94,diagnostic_only
geometry_mutation_allowed,False
geometry_type_planned_for_step94,squid_proxy
grid_48_planned_for_step94,False
grid_64_planned_for_step94,False
guard_pass_count,45
guard_row_count,45
link_area_planned_for_step94,False
only_new_feature_from_step92,write_vtk
particle_npy_output_allowed,False
planned_step94_activation_feature_count,4
planned_step94_duration_lbm_steps,1
previous_step92_n_lbm_steps,10
real_geometry_candidate_data_planned_for_step94,False
real_geometry_planned_for_step94,False
row_count,45
runtime_geometry_planned_for_step94,True
squid_proxy_planned_for_step94,True
step93_activation_feature_count,0
step93_vtr_output_enablement_guard_pass,True
target_lbm_field_planned_for_step94,solid_vel
target_u_lbm_planned_for_step94,"[0.0, 0.0, 0.0]"
vtr_output_planned_for_step94,True
vtr_output_smoke_isolation,True
wall_velocity_application_mode_planned_for_step94,solid_vel_experimental
wall_velocity_planned_for_step94,True
write_particles_allowed_for_step94,False
write_vtk_allowed_for_step94,True
