metric,value
activation_kind,vtr_output_enablement_plan_only
boundary_motion_config_path_allowed_for_step94,configs/step34_boundary_motion_interface_prescribed_kinematic.json
boundary_motion_mode_allowed_for_step94,prescribed_kinematic
boundary_motion_report_required_for_step94,True
combined_runtime_geometry_wall_velocity_planned_for_step94,True
dense_displacement_output_allowed,False
dense_wall_velocity_output_allowed,False
driver_run_required,False
duration_reduction_for_output_isolation,True
features_under_plan,"[""vtr_output_smoke_for_step94""]"
fsidriver_run_allowed,False
geometry_config_path_allowed_for_step94,configs/step85_squid_proxy_geometry_1024.json
geometry_motion_application_config_path_allowed_for_step94,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_application_mode_allowed_for_step94,diagnostic_only
geometry_motion_application_report_required_for_step94,True
geometry_motion_config_path_allowed_for_step94,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_interface_report_required_for_step94,True
geometry_motion_mode_allowed_for_step94,prescribed_kinematic
geometry_mutation_allowed,False
geometry_quality_report_required_for_step94,True
geometry_type_allowed_for_step94,squid_proxy
grid_48_allowed,False
grid_64_allowed,False
link_area_allowed,False
only_new_feature_from_step92,write_vtk
particle_npy_output_allowed,False
pass_count,68
physical_validation_claim_allowed,False
planned_step94_activation_feature_count,4
planned_step94_n_lbm_steps,1
previous_commit,40a67ece3b6e8d77fb6356fe5e97dc25a3037372
previous_required_commit,40a67ece3b6e8d77fb6356fe5e97dc25a3037372
previous_step,Step92
previous_step92_n_lbm_steps,10
production_readiness_claim_allowed,False
quality_check_enabled_allowed_for_step94,True
quality_check_strict_allowed_for_step94,False
real_geometry_allowed,False
real_geometry_candidate_data_allowed,False
real_squid_validation_claim_allowed,False
row_count,68
runtime_code_changed,False
runtime_geometry_planned_for_step94,True
simulation_run_allowed,False
solver_behavior_changed,False
solver_formula_change_allowed,False
squid_actuation_claim_allowed,False
squid_proxy_planned_for_step94,True
squid_swimming_claim_allowed,False
step,Step93
step93_activation_feature_count,0
step93_vtr_output_enablement_plan_pass,True
step94_allowed,True
step94_allowed_coupling_mode,moving_boundary
step94_allowed_mpm_substeps_per_lbm_step,1
step94_allowed_n_grid,32
step94_allowed_n_lbm_steps,1
step94_allowed_n_particles,1024
step94_allowed_output_interval,1
step94_allowed_reaction_transfer_mode,engineering
step94_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_vtr_smoke
target_lbm_field_planned_for_step94,solid_vel
target_u_lbm_allowed_for_step94,"[0.0, 0.0, 0.0]"
tau_migration_allowed,False
vtr_output_planned_for_step94,True
vtr_output_smoke_isolation,True
wall_velocity_application_config_path_allowed_for_step94,configs/step36_wall_velocity_application_solid_vel_experimental.json
wall_velocity_application_mode_allowed_for_step94,solid_vel_experimental
wall_velocity_application_report_required_for_step94,True
wall_velocity_planned_for_step94,True
write_particles_allowed_for_step94,False
write_vtk_allowed_for_step94,True
