extension,forbidden,pass,path,size_bytes
.log,False,True,logs/step94_activation_guard.log,53
.log,False,True,logs/step94_artifact_manifest.log,62
.log,False,True,logs/step94_focused_pytest.log,103
.log,False,True,logs/step94_full_pytest_anaconda.log,1332
.log,False,True,logs/step94_full_pytest_taichi.log,1333
.log,False,True,logs/step94_output_guard.log,49
.log,False,True,logs/step94_step90_regression_guard.log,59
.log,False,True,logs/step94_step92_regression_guard.log,59
.log,False,True,logs/step94_step93_regression_guard.log,59
.log,False,True,logs/step94_taichi_ggui_visualization_quality.log,76
.log,False,True,logs/step94_taichi_ggui_visualization_smoke_matrix.log,74
.csv,False,True,outputs/step94_activation_guard/activation_guard.csv,2094
.json,False,True,outputs/step94_activation_guard/activation_guard.json,6490
.csv,False,True,outputs/step94_activation_guard/activation_guard_summary.csv,649
.csv,False,True,outputs/step94_artifact_manifest/artifact_manifest.csv,520485
.csv,False,True,outputs/step94_artifact_manifest/artifact_summary.csv,479
.json,False,True,outputs/step94_artifact_manifest/artifact_summary.json,560
.json,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/boundary_motion_interface_report.json,8410
.csv,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/diagnostics_timeseries.csv,792
.npz,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/diagnostics_timeseries.npz,8744
.json,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/driver_config.json,1836
.json,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/driver_timing.json,466
.dat,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/geo_all_fluid_32.dat,98304
.json,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/geometry_motion_interface_report.json,8192
.json,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/geometry_quality_report.json,1219
.json,False,True,outputs/step94_driver_runs/first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke/wall_velocity_application_report.json,2837
.png,False,True,outputs/step94_ggui_visualization/step94_ggui_visual_smoke.png,132386
.json,False,True,outputs/step94_ggui_visualization/step94_ggui_visualization_metadata.json,630
.json,False,True,outputs/step94_ggui_visualization/step94_ggui_visualization_report.json,1128
.csv,False,True,outputs/step94_output_guard/output_guard.csv,4841
.json,False,True,outputs/step94_output_guard/output_guard.json,11182
.csv,False,True,outputs/step94_output_guard/output_guard_summary.csv,842
.csv,False,True,outputs/step94_step90_regression_guard/step90_regression_guard.csv,827
.json,False,True,outputs/step94_step90_regression_guard/step90_regression_guard.json,2369
.csv,False,True,outputs/step94_step90_regression_guard/step90_regression_guard_summary.csv,716
.csv,False,True,outputs/step94_step92_regression_guard/step92_regression_guard.csv,883
.json,False,True,outputs/step94_step92_regression_guard/step92_regression_guard.json,2438
.csv,False,True,outputs/step94_step92_regression_guard/step92_regression_guard_summary.csv,729
.csv,False,True,outputs/step94_step93_regression_guard/step93_regression_guard.csv,1207
.json,False,True,outputs/step94_step93_regression_guard/step93_regression_guard.json,2923
.csv,False,True,outputs/step94_step93_regression_guard/step93_regression_guard_summary.csv,630
.csv,False,True,outputs/step94_taichi_ggui_visualization_quality/taichi_ggui_visualization_quality.csv,14147
.json,False,True,outputs/step94_taichi_ggui_visualization_quality/taichi_ggui_visualization_quality.json,26912
.csv,False,True,outputs/step94_taichi_ggui_visualization_quality/taichi_ggui_visualization_quality_summary.csv,543
.csv,False,True,outputs/step94_taichi_ggui_visualization_smoke_matrix/taichi_ggui_visualization_smoke_matrix.csv,5150
.json,False,True,outputs/step94_taichi_ggui_visualization_smoke_matrix/taichi_ggui_visualization_smoke_matrix.json,9761
.csv,False,True,outputs/step94_taichi_ggui_visualization_smoke_matrix/taichi_ggui_visualization_smoke_matrix_summary.csv,2282
