metric,value
artifact_check_count,5
artifact_pass_count,5
pass_count,5
row_count,5
step90_activation_feature_count,3
step90_activation_guard_pass,True
step90_artifact_budget_pass,True
step90_combined_runtime_geometry_wall_velocity_enabled_count,1
step90_completed_lbm_steps,5
step90_first_user_simulation_dry_run_matrix_pass,True
step90_first_user_simulation_dry_run_quality_pass,True
step90_link_area_enabled_count,0
step90_output_guard_pass,True
step90_particle_npy_count,0
step90_real_geometry_candidate_enabled_count,0
step90_runtime_geometry_enabled_count,1
step90_squid_proxy_enabled_count,1
step90_vtr_count,0
step90_wall_velocity_enabled_count,1
step94_step90_regression_guard_pass,True
