metric,value
activation_feature_count,4
allowed_next_step,Step94
boundary_motion_interface_report_pass_count,1
canonical_driver_module,src.mpm_lbm.sim.drivers.fsi_driver
combined_runtime_geometry_wall_velocity_enabled_count,1
driver_run_called_count,1
driver_run_required,True
gate_source_step,Step93
geometry_motion_interface_report_pass_count,1
geometry_quality_report_pass_count,1
ggui_camera_configured_count,1
ggui_render_report_pass_count,1
ggui_renderer_called_count,1
ggui_scene_created_count,1
ggui_screenshot_count,1
ggui_screenshot_exists_count,1
ggui_video_file_count,0
ggui_visualization_enabled_count,1
ggui_window_created_count,1
grid_48_enabled_count,0
grid_64_enabled_count,0
has_inf_count,0
has_nan_count,0
legacy_driver_module_used_count,0
link_area_enabled_count,0
max_lbm_max_v,0.0003139966866001487
max_mpm_max_speed,0.0017955973744392395
max_rho_max,1.0000003576278687
min_completed_lbm_steps,1
min_diagnostics_row_count,2
min_mpm_min_J,0.9999617338180542
min_rho_min,0.9996863007545471
min_total_mpm_substeps,1
missing_required_rows,[]
only_new_feature_from_step92,taichi_ggui_visualization
optional_row_count,0
particle_npy_output_count,0
physics_feature_expansion,taichi_ggui_visualization_smoke_only
post_gate_simulation_allowed,True
previous_step,Step93
previous_step92_n_lbm_steps,10
procedural_geometry_enabled_count,1
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_count,1
required_rows_present,"[""first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke""]"
required_stable_count,1
row_count,1
runtime_code_changed,False
runtime_geometry_enabled_count,1
runtime_hard_fail_count,0
runtime_warning_count,0
slowest_elapsed_seconds,66.49477119999938
slowest_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_1step_ggui_visual_smoke
solver_behavior_changed,False
squid_proxy_enabled_count,1
stable_count,1
step94_n_lbm_steps,1
step94_taichi_ggui_visualization_smoke_matrix_pass,True
total_elapsed_seconds,66.49477119999938
vtr_output_count,0
wall_velocity_application_report_pass_count,1
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
