metric,value
combined_runtime_geometry_wall_velocity_planned_for_step96,True
from_step92_adds_ggui_visualization,True
from_step94_duration_expansion,True
geometry_motion_application_mode_planned_for_step96,diagnostic_only
geometry_mutation_allowed,False
geometry_type_planned_for_step96,squid_proxy
ggui_interactive_window_allowed_for_step96,True
ggui_screenshot_allowed_for_step96,True
ggui_video_allowed_for_step96,False
ggui_visualization_planned_for_step96,True
grid_48_planned_for_step96,False
grid_64_planned_for_step96,False
guard_pass_count,57
guard_row_count,57
link_area_planned_for_step96,False
particle_npy_output_planned_for_step96,False
planned_step96_activation_feature_count,4
planned_step96_duration_lbm_steps,10
previous_step92_n_lbm_steps,10
previous_step94_n_lbm_steps,1
real_geometry_candidate_data_planned_for_step96,False
real_geometry_planned_for_step96,False
row_count,57
runtime_geometry_planned_for_step96,True
squid_proxy_planned_for_step96,True
step95_activation_feature_count,0
step95_taichi_ggui_10step_visualization_guard_pass,True
target_lbm_field_planned_for_step96,solid_vel
target_u_lbm_planned_for_step96,"[0.0, 0.0, 0.0]"
vtr_route_allowed_for_step96,False
wall_velocity_application_mode_planned_for_step96,solid_vel_experimental
wall_velocity_planned_for_step96,True
write_particles_allowed_for_step96,False
write_vtk_planned_for_step96,False
