actual,check,expected,pass,row_name
Step95,step,Step95,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
Step94,previous_step,Step94,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
a255713f9148f8046b81595d6e2ce4152920d057,previous_required_commit,a255713f9148f8046b81595d6e2ce4152920d057,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
taichi_ggui_10step_visualization_plan_only,activation_kind,taichi_ggui_10step_visualization_plan_only,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
"[""taichi_ggui_visualization"", ""ten_lbm_step_duration""]",features_under_plan,"[""taichi_ggui_visualization"", ""ten_lbm_step_duration""]",True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
False,driver_run_required,False,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
False,fsidriver_run_allowed,False,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
False,simulation_run_allowed,False,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
False,ggui_run_allowed,False,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
False,screenshot_output_allowed_in_step95,False,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,step96_allowed,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run,step96_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
32,step96_allowed_n_grid,32,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
1024,step96_allowed_n_particles,1024,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
10,step96_allowed_n_lbm_steps,10,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
1,step96_allowed_mpm_substeps_per_lbm_step,1,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
moving_boundary,step96_allowed_coupling_mode,moving_boundary,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
engineering,step96_allowed_reaction_transfer_mode,engineering,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
1,step96_allowed_output_interval,1,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,from_step94_duration_expansion,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
1,previous_step94_n_lbm_steps,1,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
10,planned_step96_n_lbm_steps,10,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,from_step92_adds_ggui_visualization,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
10,previous_step92_n_lbm_steps,10,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,ggui_visualization_planned_for_step96,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,ggui_interactive_window_allowed_for_step96,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,ggui_screenshot_allowed_for_step96,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
False,ggui_video_allowed_for_step96,False,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
local_desktop_taichi_environment,ggui_required_backend_policy,local_desktop_taichi_environment,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
1,ggui_screenshot_count_allowed_for_step96,1,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,squid_proxy_planned_for_step96,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
squid_proxy,geometry_type_allowed_for_step96,squid_proxy,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
configs/step85_squid_proxy_geometry_1024.json,geometry_config_path_allowed_for_step96,configs/step85_squid_proxy_geometry_1024.json,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,quality_check_enabled_allowed_for_step96,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
False,quality_check_strict_allowed_for_step96,False,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,geometry_quality_report_required_for_step96,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
True,runtime_geometry_planned_for_step96,True,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
prescribed_kinematic,geometry_motion_mode_allowed_for_step96,prescribed_kinematic,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
diagnostic_only,geometry_motion_application_mode_allowed_for_step96,diagnostic_only,True,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
