metric,value
activation_kind,taichi_ggui_10step_visualization_plan_only
boundary_motion_config_path_allowed_for_step96,configs/step34_boundary_motion_interface_prescribed_kinematic.json
boundary_motion_report_required_for_step96,True
combined_runtime_geometry_wall_velocity_planned_for_step96,True
dense_displacement_output_allowed,False
dense_wall_velocity_output_allowed,False
driver_run_required,False
features_under_plan,"[""taichi_ggui_visualization"", ""ten_lbm_step_duration""]"
from_step92_adds_ggui_visualization,True
from_step94_duration_expansion,True
fsidriver_run_allowed,False
geometry_config_path_allowed_for_step96,configs/step85_squid_proxy_geometry_1024.json
geometry_motion_application_config_path_allowed_for_step96,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_application_mode_allowed_for_step96,diagnostic_only
geometry_motion_application_report_required_for_step96,True
geometry_motion_config_path_allowed_for_step96,configs/step80_geometry_motion_interface_prescribed_diagnostic_only.json
geometry_motion_interface_report_required_for_step96,True
geometry_motion_mode_allowed_for_step96,prescribed_kinematic
geometry_mutation_allowed,False
geometry_quality_report_required_for_step96,True
geometry_type_allowed_for_step96,squid_proxy
ggui_interactive_window_allowed_for_step96,True
ggui_required_backend_policy,local_desktop_taichi_environment
ggui_run_allowed,False
ggui_screenshot_allowed_for_step96,True
ggui_screenshot_count_allowed_for_step96,1
ggui_video_allowed_for_step96,False
ggui_visualization_planned_for_step96,True
grid_48_allowed,False
grid_64_allowed,False
link_area_allowed,False
particle_npy_output_allowed,False
pass_count,77
physical_validation_claim_allowed,False
planned_step96_activation_feature_count,4
planned_step96_n_lbm_steps,10
previous_commit,a255713f9148f8046b81595d6e2ce4152920d057
previous_required_commit,a255713f9148f8046b81595d6e2ce4152920d057
previous_step,Step94
previous_step92_n_lbm_steps,10
previous_step94_n_lbm_steps,1
production_readiness_claim_allowed,False
quality_check_enabled_allowed_for_step96,True
quality_check_strict_allowed_for_step96,False
real_geometry_allowed,False
real_geometry_candidate_data_allowed,False
real_squid_validation_claim_allowed,False
row_count,77
runtime_code_changed,False
runtime_geometry_planned_for_step96,True
screenshot_output_allowed_in_step95,False
simulation_run_allowed,False
solver_behavior_changed,False
solver_formula_change_allowed,False
squid_actuation_claim_allowed,False
squid_proxy_planned_for_step96,True
squid_swimming_claim_allowed,False
step,Step95
step95_activation_feature_count,0
step95_taichi_ggui_10step_visualization_plan_pass,True
step96_allowed,True
step96_allowed_coupling_mode,moving_boundary
step96_allowed_mpm_substeps_per_lbm_step,1
step96_allowed_n_grid,32
step96_allowed_n_lbm_steps,10
step96_allowed_n_particles,1024
step96_allowed_output_interval,1
step96_allowed_reaction_transfer_mode,engineering
step96_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
target_lbm_field_planned_for_step96,solid_vel
target_u_lbm_allowed_for_step96,"[0.0, 0.0, 0.0]"
target_u_lbm_policy,same_zero_background_flow_as_step90_step92_step94
tau_migration_allowed,False
video_output_allowed,False
vtr_output_allowed,False
wall_velocity_application_config_path_allowed_for_step96,configs/step36_wall_velocity_application_solid_vel_experimental.json
wall_velocity_application_mode_allowed_for_step96,solid_vel_experimental
wall_velocity_application_report_required_for_step96,True
wall_velocity_planned_for_step96,True
write_particles_allowed,False
write_vtk_allowed,False
