step,total_mpm_substeps,coupling_mode,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,active_reaction_particle_count,max_grid_reaction_norm,elapsed_seconds
0,0,moving_boundary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,6.269903999993403
1,1,moving_boundary,0.9996863007545471,1.0000003576278687,0.0003139966866001487,1.3750441496540589e-07,-2.1655979765000666e-07,-3.194423170427285e-09,1.0928005167443189e-06,0.9999617338180542,0.0017955974908545613,0.02264910377562046,1759,0.0,0.41573983430862427,2574,0.00011802898370660841,987,4.2154038965236396e-05,176.51187429999845
2,2,moving_boundary,0.9994871020317078,1.000001072883606,0.00014198898861650378,1.198446284433885e-07,-1.6458513130146457e-07,4.8298566923676844e-08,2.2540409645444015e-06,0.9998880624771118,0.0036048272158950567,0.02264910191297531,1759,0.0,0.41587546467781067,2574,0.00012552234693430364,987,4.21540935349185e-05,176.58771669999987
3,3,moving_boundary,0.9994185566902161,1.0000004768371582,0.0004618859093170613,3.001779873557098e-07,-4.0308378856934723e-07,1.0360437840972736e-07,3.2894388368731597e-06,0.9997814893722534,0.005417275708168745,0.02264910750091076,1759,0.0,0.41572943329811096,2574,0.00013299558486323804,987,4.215420631226152e-05,176.65349719999358
4,4,moving_boundary,0.9961479306221008,1.0000004768371582,0.003624566597864032,1.7833174297265941e-06,-2.6528086891630664e-06,1.8973541671130079e-07,4.8601714297547005e-06,0.9996442794799805,0.007227644789963961,0.022649114951491356,1759,0.0,0.41570866107940674,2574,0.001400665147230029,987,4.2154366383329034e-05,177.06138559999818
5,5,moving_boundary,0.994316041469574,1.0000004768371582,0.001792576047591865,1.751371883074171e-06,-2.1914977423875825e-06,8.39668132357474e-07,5.489041086548241e-06,0.999478816986084,0.009027060121297836,0.022649122402071953,1759,0.0,0.41712456941604614,2574,0.0014045799616724253,987,4.215457374812104e-05,177.12765479999507
6,6,moving_boundary,0.9939723610877991,1.0000004768371582,0.004934487398713827,3.690049425131292e-06,-4.7312482820416335e-06,1.5614818948961329e-06,7.048615316307405e-06,0.999287486076355,0.010811757296323776,0.02264910191297531,1759,0.0,0.41569778323173523,2574,0.0014102731365710497,987,4.2154828406637534e-05,177.190085299997
7,7,moving_boundary,0.9940555095672607,1.0020935535430908,0.003407703712582588,3.953645318688359e-06,-3.7435504509630846e-06,2.9181339868955547e-06,7.8269467849168e-06,0.9990726113319397,0.012564641423523426,0.022649118676781654,1759,0.0,0.41664373874664307,2574,0.0014175500255078077,987,4.215513035887852e-05,177.24736879999546
8,8,moving_boundary,0.993611752986908,1.0000005960464478,0.005718637257814407,5.864820650458569e-06,-7.021498277026694e-06,4.078871370438719e-06,9.68279618973611e-06,0.9988368153572083,0.014272992499172688,0.02264910563826561,1759,0.0,0.4156860113143921,2574,0.001700874767266214,987,4.2155465052928776e-05,177.6554634999993
9,9,moving_boundary,0.9943169355392456,1.0026592016220093,0.004453953355550766,5.850537490914576e-06,-8.780491043580696e-06,5.637164576910436e-06,9.138377208728343e-06,0.9985825419425964,0.015926027670502663,0.022649137303233147,1759,0.0,0.4169260859489441,2574,0.0017075777286663651,987,4.215583248878829e-05,177.71433249999973
10,10,moving_boundary,0.9942807555198669,1.0018028020858765,0.005637684371322393,7.61183491704287e-06,-1.1744741641450673e-05,6.676012162643019e-06,9.778119419934228e-06,0.9983127117156982,0.017513463273644447,0.02264912612736225,1759,0.0,0.41565245389938354,2574,0.0017148391343653202,987,4.215622539049946e-05,177.7753345999954
