metric,value
boundary_motion_interface_report_pass_count,1
capped_wall_velocity_report_count,1
finite_max_grid_reaction_norm_count,1
finite_wall_velocity_report_count,1
from_step92_adds_ggui_visualization_count,1
from_step94_duration_expansion_count,1
geometry_motion_interface_report_pass_count,1
geometry_quality_report_pass_count,1
ggui_render_report_pass_count,1
ggui_screenshot_exists_count,1
mutation_flag_enabled_count_max,0
pass_count,95
row_count,95
source_matrix_row_count,1
squid_proxy_enabled_count,1
step96_taichi_ggui_10step_visualization_quality_pass,True
wall_velocity_application_report_pass_count,1
