metric,value
activation_feature_count,4
allowed_next_step,Step96
boundary_motion_interface_report_pass_count,1
canonical_driver_module,src.mpm_lbm.sim.drivers.fsi_driver
combined_runtime_geometry_wall_velocity_enabled_count,1
driver_run_called_count,1
driver_run_required,True
from_step92_adds_ggui_visualization,True
from_step94_duration_expansion,True
gate_source_step,Step95
geometry_motion_interface_report_pass_count,1
geometry_quality_report_pass_count,1
ggui_camera_configured_count,1
ggui_render_report_pass_count,1
ggui_renderer_called_count,1
ggui_scene_created_count,1
ggui_screenshot_count,1
ggui_screenshot_exists_count,1
ggui_video_file_count,0
ggui_visualization_enabled_count,1
ggui_window_created_count,1
grid_48_enabled_count,0
grid_64_enabled_count,0
has_inf_count,0
has_nan_count,0
legacy_driver_module_used_count,0
link_area_enabled_count,0
max_lbm_max_v,0.005718637257814407
max_mpm_max_speed,0.017513463273644447
max_rho_max,1.0026592016220093
min_completed_lbm_steps,10
min_diagnostics_row_count,11
min_mpm_min_J,0.9983127117156982
min_rho_min,0.993611752986908
min_total_mpm_substeps,10
missing_required_rows,[]
only_new_feature_from_step92,taichi_ggui_visualization
optional_row_count,0
particle_npy_output_count,0
physics_feature_expansion,taichi_ggui_10step_first_user_visualization_run
post_gate_simulation_allowed,True
previous_step,Step95
previous_step92_n_lbm_steps,10
previous_step94_n_lbm_steps,1
procedural_geometry_enabled_count,1
real_geometry_candidate_enabled_count,0
real_geometry_enabled_count,0
required_row_count,1
required_rows_present,"[""first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run""]"
required_stable_count,1
row_count,1
runtime_code_changed,False
runtime_geometry_enabled_count,1
runtime_hard_fail_count,0
runtime_warning_count,0
slowest_elapsed_seconds,297.02867100000003
slowest_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_10step_ggui_visual_run
solver_behavior_changed,False
squid_proxy_enabled_count,1
stable_count,1
step96_n_lbm_steps,10
step96_taichi_ggui_10step_visualization_run_matrix_pass,True
total_elapsed_seconds,297.02867100000003
vtr_output_count,0
wall_velocity_application_report_pass_count,1
wall_velocity_enabled_count,1
write_particles_count,0
write_vtk_count,0
